Restaurant Name,Average Rating,Total Votes
Gazebo,4.166666666666667,1279
Dishoom,4.6,1269
Keventers,2.8705882352941177,1263
Krispy Kreme,3.9333333333333336,1257
Angels in my Kitchen,3.4125,1241
Matchbox,4.4,1214
Town Hall,3.65,1199
China Garden,3.8499999999999996,1159
Giani's,2.7818181818181817,1150
Wow! Momo,2.7545454545454544,1119
The Crab Shack,3.9499999999999997,1112
The Midnight Heroes,3.66,1111
Shree Rathnam,3.0,1083
The Big Chill Cakery,4.45,1059
Applebee's,3.9,1057
Asian Haus,4.0,1046
L'Opera,3.8200000000000003,1046
The Great Kabab Factory,3.5,1038
DCK- Dana Choga's Kitchen,3.125,1037
Caffe 9,4.2,1030
Wah Ji Wah,2.3421052631578947,1026
Moti Mahal Delux,3.0,1023
The Fisherman's Wharf,4.266666666666667,1022
Changezi Chicken,3.5,1017
Nathu's Sweets,2.7199999999999998,1003
BTW,3.2857142857142856,998
Din Tai Fung,4.35,997
Green Chick Chop,2.6725490196078434,964
San Carlo,4.25,893
Side Wok,3.8666666666666667,875
The Barbeque Company,4.0,869
Costa Coffee,2.415,861
Cafe Turtle,3.4333333333333336,861
The Coffee Bean & Tea Leaf,3.425,855
Giani,2.689655172413793,854
Suruchi,3.5999999999999996,836
Embassy,3.25,832
Baker Street,3.8499999999999996,831
Taco Bell,3.8666666666666667,825
Munch Nation,3.9,823
Barista,3.0727272727272723,815
Wendy's,3.8,814
Chili's Grill & Bar,3.9499999999999997,813
Baking Bad,3.75,795
Defence Bakery,3.6999999999999997,791
Harry's Bar + Cafe,3.6500000000000004,787
Chowringhee,2.5625,785
Texas Roadhouse,3.8600000000000003,783
Rhinehart's Oyster Bar,4.0,782
"34, Chowringhee Lane",2.7916666666666665,777
Biryani Blues,3.6666666666666665,776
Colonel's Kababz,3.2,766
Burger Singh,3.4333333333333336,757
Cinnabon,4.0,757
Qureshi's Kabab Corner,3.575,744
Smaaash,3.95,743
Khidmat,3.5,741
Natural Ice Cream,4.5,732
Rollmaal,3.4,719
Circus,3.95,719
Kebab Xpress,3.025,708
Eggers Madhouse,3.85,698
Kake Di Hatti,3.55,678
The National,4.15,677
Mad Over Donuts,3.7399999999999998,676
Italiano,3.3,674
10 Downing Street,4.0,670
Perch Wine & Coffee Bar,4.25,665
Jamie's Italian,4.05,663
Southy,2.716666666666667,643
Om Sweets & Snacks,3.1333333333333333,638
Chicago Pizza,2.3249999999999997,633
Gung The Palace,3.95,630
Granite City Food & Brewery,4.05,628
Mellow Mushroom,4.25,625
Speedy Chow,3.466666666666667,623
Chai Point,3.1,623
HuHot Mongolian Grill,3.766666666666667,618
Bun Intended,3.95,615
The Cafe,4.35,590
D�_ner Grill,3.8000000000000003,590
Burger Point,3.1454545454545455,574
Nanking,3.6500000000000004,569
Cocoberry,3.4222222222222225,564
Bhimsain's Bengali Sweet House,3.15,564
Biryani By Kilo,4.0,553
Open Oven,3.475,553
Cafe Brown Sugar,3.6500000000000004,551
Red Mango,3.6500000000000004,550
Goli Vada Pav No. 1,2.75,548
Kebab Gali,3.9,544
Wok On Fire,3.8000000000000003,542
Theos,3.8,529
Basil Tree,2.9,527
Bijoli Grill,3.7,525
MR.D - Deliciousness Delivered,3.4,515
Kolkata Biryani House,3.0999999999999996,513
Au Bon Pain,3.25,511
Hong Kong Express,3.475,510
Wrapss,2.566666666666667,510
Crazy Noodles,1.8,509
Behrouz Biryani,3.1846153846153844,509
Nite Bites,3.175,507
Chaophraya,4.166666666666667,505
Carl's Jr.,3.65,503
The Breakfast Club,4.0,502
Moti Mahal Delux Tandoori Trail,2.733333333333333,501
Delhi Club House,4.0,497
Apni Rasoi,1.9416666666666667,489
Fish Streat,3.7,483
Nooba,3.7,481
Manohar Dairy And Restaurant,4.25,481
Nirula's,2.65,478
Kaveri Restaurant And Caterers,3.7,472
Twigly,4.55,471
FreshMenu,3.725,467
Invitation,1.8,460
Hungry - I,3.1500000000000004,457
Cafe Diva,3.8499999999999996,456
Bake N Shake,4.2,446
Wai Yu Mun Ching,3.55,433
Puri Bakers,3.725,432
Baskin Robbins,1.8607142857142858,428
Tipu Sultan,3.85,427
Burgrill,4.45,427
Hawkers,3.05,424
Metro Dhaba,1.9,419
Nutritious Nation,3.55,416
The Creamery,4.05,415
Cafe Coffee Day The Square,3.6500000000000004,410
Adyar Ananda Bhavan,3.15,407
New Town Cafe - Park Plaza,3.9,404
Urban Punjab,3.4333333333333336,403
Chinese Corner,1.24,398
Sanjha Chulha,2.4166666666666665,398
Chokola,3.45,397
Arabian Nites,3.65,397
Al Bake,2.9499999999999997,396
La Pino'z Pizza,3.966666666666667,394
Madras Cafe,1.9181818181818182,389
Kamal's,3.25,389
Goosebumps,3.8000000000000003,387
Barbeque Ville,4.1,372
Aureo Dine & Bake House,1.75,370
Chawla's�_,2.2714285714285714,364
Big Wong XL,3.95,361
Biryani Art,3.6999999999999997,352
Sugar & Spice - Le Marche,2.9,351
Dilli BC,4.25,351
Anjlika Pastry Shop,3.75,349
Underdoggs Sports Bar & Grill,4.35,346
Burger Hut,3.2,335
The Mad Teapot/The Wishing Chair,4.25,334
Beliram Degchiwala,3.5,333
Cafe Coffee Day - The Lounge,2.8000000000000003,330
Habibi,3.4000000000000004,330
Gymkhana,4.7,328
Americana Kitchen and Bar,2.5999999999999996,326
Finger Licious,2.1999999999999997,325
Fat Lulu's,3.75,319
Spice Route,3.5,319
Ashoka Restaurant,3.55,318
Paapi Paet,3.45,318
Little Chef,3.4,318
Kamboj's,2.5999999999999996,315
Sandwich King,3.65,314
The Diet Kitchen,3.75,314
Food Scouts,4.433333333333334,312
Litti.In,3.4,312
Tikka Town,3.033333333333333,309
All About Food,1.95,305
The Golden Dragon,2.8333333333333335,304
